基金管理人简称,evaluation_pool,credibility_grade,formal_rank,annualized_valid_fund_count,active_contribution_valid_fund_count,median_annualized_fund_return,equal_weight_annualized_fund_return,nav_weighted_annualized_fund_return,median_annualized_three_asset_benchmark_return,median_annualized_excess_vs_three_asset,median_annualized_excess_vs_loo_peer,median_annualized_active_allocation_contribution,annualized_excess_positive_fund_ratio,active_contribution_positive_fund_ratio
广发基金,正式评价,B级,1.0,18,17,0.03672977005164746,0.039755817290314514,0.1564139660453868,0.046734637484599495,-0.019967110696482826,-0.012907144180948626,0.003886568654799971,0.2777777777777778,0.7058823529411765
易方达基金,正式评价,B级,2.0,3,14,0.12183474932759664,0.1370747324497681,0.11135795824292859,0.05025100674650829,0.07158374258108835,0.09031363672169723,0.0003217019304136981,1.0,0.5
华商基金,正式评价,B级,3.0,5,5,0.10154951621702013,0.26720028649977967,0.5530780284391663,0.05282912024049469,0.06162460181643303,0.06989674629439047,0.004160801065230091,0.8,0.8
景顺长城基金,正式评价,B级,4.0,8,8,0.0799946727269466,0.16077792362602344,0.40231802133080485,0.05908492807495147,0.01908135267168798,0.03764699032726637,0.00034439251768159096,0.625,0.625
鹏华基金,正式评价,B级,5.0,4,6,0.07577197722795337,0.0768484406493189,0.04854499367405717,0.03151088440962668,0.034502948699895786,0.037311634811443395,0.002325143704863919,1.0,0.8333333333333334
华夏基金,正式评价,B级,6.0,8,14,0.05032804770133659,0.07051395618121545,0.03559521812779176,0.05980526971615219,-0.00971536156203845,0.014704313749272557,-0.0006646268801385191,0.375,0.42857142857142855
博时基金,正式评价,B级,7.0,5,8,0.043465418824386814,0.03411431192541516,0.11322077337603165,0.04062257462626251,0.0028428441981243058,0.011879800262074136,4.690156010589419e-05,0.6,0.5
招商基金,正式评价,C级,8.0,13,17,0.05598252232804746,0.06461714539263036,0.03634339324975617,0.06501557947249337,-0.01023939935074547,0.006852379072370018,-0.00011921497299516304,0.38461538461538464,0.47058823529411764
国寿安保基金,正式评价,C级,9.0,8,8,0.08071046244341673,0.11838682317164723,0.0939702424345017,0.04071298191099648,0.03782034270096335,0.037011113691760134,-0.004870521678838391,0.875,0.25
平安基金,正式评价,C级,10.0,3,6,0.03789100879137974,0.0474194183682779,0.06111810730611612,0.043322614540378,0.0059276361532267785,0.011613089714189728,0.0008650471200858378,0.6666666666666666,0.5
长信基金,正式评价,C级,11.0,7,7,0.02676411636836029,0.03560196153940466,0.009839283859170787,0.034686920153152334,-0.019503103080513284,-0.0077638868231311164,-0.007958621700645208,0.2857142857142857,0.42857142857142855
富国基金,正式评价,C级,12.0,9,9,0.06706293191814461,0.06986800255319234,0.08422802502255795,0.05342612330543184,0.011737254374978301,0.03161239311391961,-0.0036543672536692995,0.6666666666666666,0.2222222222222222
国泰基金,正式评价,C级,13.0,10,8,0.06993134542393942,0.08003416003719784,0.09537502434774495,0.04621347335624115,0.018272527073772693,0.018062863307522048,-0.007515119089526179,0.7,0.25
融通基金,正式评价,B级,14.0,7,7,0.10259830406953019,0.09149354433892369,0.12924416367417516,0.04185027129664154,-0.0114680680300292,0.016622270776191828,0.002211834515686073,0.2857142857142857,0.5714285714285714
银华基金,正式评价,C级,15.0,3,4,-0.015992033127966265,0.05564141576154399,0.0025340126995157574,0.016606532454949807,-0.0274689615286986,-0.014849642448193534,-0.0019686990857069597,0.3333333333333333,0.5
中欧基金,正式评价,C级,16.0,5,5,0.012742297906822797,0.02064592116566153,0.02659347840734066,0.06340502915006252,-0.04906655081772526,-0.02886877548097977,-0.008570654026234914,0.0,0.2
中邮基金,观察池,观察池,,3,3,0.2661143545461424,0.2605540629276768,0.26385184980567183,0.07134540889450713,0.19476894565163527,0.21976205543905292,0.005946920492556851,1.0,1.0
永赢基金,观察池,观察池,,2,2,0.2296365824878347,0.2296365824878347,0.382435774826255,0.05183650130227413,0.17780008118556057,0.18115377054416282,0.002284012159932125,1.0,0.5
建信基金,观察池,观察池,,1,1,0.24476472560486728,0.24476472560486728,0.24476472560486726,0.0682180661893883,0.17654665941547898,0.19104188428136393,-0.0061372968255327676,1.0,0.0
新华基金,观察池,观察池,,2,2,0.22213721897167005,0.22213721897167005,0.23953415178135978,0.07577737950096763,0.1463598394707024,0.16034729921689272,-0.007983800284614095,1.0,0.5
万家基金,观察池,观察池,,1,4,0.1440694830205842,0.1440694830205842,0.1440694830205842,0.04664863611249448,0.09742084690808972,0.08298314781212057,0.00013431663862728538,1.0,0.5
宏利基金,观察池,观察池,,2,2,0.15283863477699078,0.15283863477699078,0.15119391962841253,0.05658855780189709,0.09625007697509369,0.08258413970397738,-0.008739445064388895,1.0,0.0
财通基金,观察池,观察池,,1,1,0.1411642408173559,0.1411642408173559,0.1411642408173559,0.04710332116011684,0.09406091965723906,0.11038240624927109,-0.012032237300124926,1.0,0.0
圆信永丰基金,观察池,观察池,,1,1,0.13823615804491984,0.13823615804491984,0.13823615804491984,0.05543899527920226,0.08279716276571758,0.10693991834746819,-0.007553950441067547,1.0,0.0
银河基金,观察池,观察池,,2,2,0.11594437879765152,0.11594437879765152,0.10916815245005546,0.03464987201563641,0.08129450678201511,0.0740634201945759,-0.008463742168304977,1.0,0.5
农银汇理基金,观察池,观察池,,1,1,0.1280655562806774,0.1280655562806774,0.1280655562806774,0.04868948148743946,0.07937607479323794,0.07420059298308912,0.0020904484855377437,1.0,1.0
中金基金,观察池,观察池,,1,1,0.11485712647352897,0.11485712647352897,0.11485712647352896,0.04555221194634873,0.06930491452718024,0.06106086100904795,-0.016527271365810114,1.0,0.0
