基金管理人简称,evaluation_pool,return_observation_count,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,winsor_1_mean_contribution,winsor_5_mean_contribution,bootstrap_lower_95,bootstrap_upper_95,equal_weight_dynamic_excess,nav_weighted_dynamic_excess,equal_weight_three_asset_excess,nav_weighted_three_asset_excess,fund_positive_ratio,company_quarter_positive_ratio,worst_company_quarter_contribution,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason,positive_threshold_count,positive_signal_count,credibility_grade,formal_rank
广发基金,正式评价,223,97,18,65,0.6701030927835051,0.5716272738928372,0.7556190827735929,0.002105753663447624,0.0006509132390251684,0.0021113607273944277,0.0024913055432355135,-0.0011210544492142843,0.005787645440409979,-0.0013207777477960952,0.03919283928627243,-0.0015969207934549109,0.04296892933342897,0.7222222222222222,0.8333333333333334,-0.003673753524918571,0.1134020618556701,0.20618556701030927,0.15503055776720326,通过,3,5,B级,1.0
易方达基金,正式评价,178,55,13,32,0.5818181818181818,0.45033103735230756,0.7026223424648965,-0.0007747519013787507,0.0005612616233336193,-0.0006366191720177034,-0.0001934204655721176,-0.006255585585799908,0.0029410230313675484,0.0009643723687290004,-0.0004513972162730382,0.003314341751979167,-0.001385522709488468,0.5384615384615384,0.5454545454545454,-0.011765262539943718,0.12727272727272726,0.2545454545454545,0.1590626581262172,通过,0,4,B级,2.0
华商基金,正式评价,63,33,5,20,0.6060606060606061,0.43683440819940234,0.7531689256552291,0.0014318643817076888,0.0010199610525937607,0.0014673655194835378,0.0014368242316279507,-0.003259848951311683,0.007386585726748406,0.022218038277420388,0.029819263171818725,0.03052038323094423,0.0714839583029587,0.8,0.6363636363636364,-0.00800502367871543,0.24242424242424243,0.45454545454545453,0.371043795167555,通过,3,6,B级,3.0
景顺长城基金,正式评价,101,31,8,18,0.5806451612903226,0.4076626249536972,0.7358445693268778,0.0007751584551516339,0.0006279778237712271,0.0005997380485396655,0.0004036640492382684,-0.005911124053600731,0.00615271978260211,0.020362515840561528,0.1114380519002584,0.024680661303582607,0.11892257179358166,0.625,0.5,-0.006540268522859961,0.22580645161290322,0.41935483870967744,0.24560724965781777,通过,2,6,B级,4.0
鹏华基金,正式评价,94,38,8,21,0.5526315789473685,0.3970629712199248,0.6985359900194876,0.0015374700209195645,0.0005385764259109531,0.0015032681599027418,0.0008400331128004248,-0.005807845588891382,0.011581746837556228,-0.004971979602591081,0.002090251404684506,-0.002974528453720277,-0.0034673580545299416,0.75,0.5833333333333334,-0.0051008221370412105,0.21052631578947367,0.39473684210526316,0.2469890930864319,通过,3,5,B级,5.0
华夏基金,正式评价,179,69,15,35,0.5072463768115942,0.39205267562636525,0.6216757699071268,9.162067440184925e-05,0.00034920028155052544,-0.00020638389180193377,-0.0004403899134507344,-0.0062348905152168075,0.006212016380115705,0.00088074659216019,-0.006070766058983665,0.0027310002986142023,0.0013181786311488206,0.4666666666666667,0.5833333333333334,-0.009666271506231157,0.10144927536231885,0.2028985507246377,0.24037973522706005,通过,3,4,B级,6.0
博时基金,正式评价,120,53,10,27,0.5094339622641509,0.3788352911467995,0.6387575015215675,-0.0002341960884826979,0.0003642420781935486,-0.00039378540205306745,-0.0006227223892487638,-0.006164135184243443,0.004938345717012588,0.001351111902749233,0.015923504669424493,0.004141479293868421,0.015233448693484657,0.6,0.5,-0.013437584656748307,0.1509433962264151,0.2641509433962264,0.30299081633163877,通过,1,5,B级,7.0
招商基金,正式评价,214,91,18,41,0.45054945054945056,0.3523976853313362,0.5527071062660257,-0.0017727823456072686,-0.000590169149541236,-0.0016475643799069484,-0.0008152407971716521,-0.006916338145061312,0.002317921553518067,-0.0017212438276861218,-0.008019303514718494,0.0011263536452369683,-0.00778152700749422,0.5,0.16666666666666666,-0.009362697523279907,0.08791208791208792,0.17582417582417584,0.14211254012204264,通过,0,0,C级,8.0
国寿安保基金,正式评价,100,51,8,23,0.45098039215686275,0.3226751854937402,0.5861529144963119,-0.0004879058049621394,-0.0006369728123401752,-0.0005989505325303873,-0.0008056109287085617,-0.007456306485135242,0.0067537494897481724,0.011750689404465879,0.008299903924357302,0.015903202147948547,0.011274656682881867,0.25,0.5833333333333334,-0.01797977008298217,0.17647058823529413,0.3333333333333333,0.2051833454955788,通过,1,2,C级,9.0
平安基金,正式评价,98,41,9,19,0.4634146341463415,0.32056233976336046,0.6125352873233052,-2.1977490222797492e-05,-0.0004145874081324744,-1.4896243095935588e-05,-0.000549317865425437,-0.006370560674062604,0.007321819370151518,0.007038294786966995,0.0016969518113401525,0.013387303697092586,0.018091005230940673,0.4444444444444444,0.4166666666666667,-0.020223496741501982,0.17073170731707318,0.34146341463414637,0.2131050459412772,通过,0,2,C级,10.0
