基金管理人简称,switch_direction,relative_market_environment,observation_count,unique_fund_count,hit_ratio,mean_active_contribution,median_active_contribution
万家基金,减股票,债显著强,3,3,1.0,0.011211659700496203,0.010755265513935828
万家基金,减股票,差异较小,7,5,0.7142857142857143,0.0010617289008061797,0.00033417961142500013
万家基金,减股票,股显著强,4,4,0.0,-0.017708242333153004,-0.018370607340572026
万家基金,加股票,差异较小,6,2,0.0,-0.0024606887745578436,-0.0021159981275405775
万家基金,加股票,股显著强,2,2,1.0,0.014281976153368243,0.014281976153368243
上银基金,减股票,差异较小,1,1,1.0,0.001227589190637261,0.001227589190637261
上银基金,减股票,股显著强,1,1,0.0,-0.009302469722432366,-0.009302469722432366
上银基金,加股票,差异较小,3,2,0.0,-0.003419537131929383,-0.003950927852970427
东兴基金,减股票,差异较小,4,1,1.0,0.005023876953997162,0.004185710905378632
东兴基金,加股票,差异较小,2,1,0.5,0.004961061295508804,0.004961061295508804
东兴基金,加股票,股显著强,3,1,1.0,0.024518972555855955,0.018338331496737265
东吴基金,减股票,股显著强,1,1,0.0,-0.020874579316198787,-0.020874579316198787
东吴基金,加股票,差异较小,3,1,0.3333333333333333,-0.002906293323007217,-0.002609979627301792
东吴基金,加股票,股显著强,1,1,1.0,0.03838030686369501,0.03838030686369501
东方基金,减股票,差异较小,3,2,1.0,0.004623110722000236,0.004090973773829152
东方基金,减股票,股显著强,3,2,0.0,-0.02741168610970775,-0.02652401703126773
东方基金,加股票,债显著强,3,3,0.0,-0.00575006495606666,-0.005666347724665633
东方基金,加股票,差异较小,8,4,0.125,-0.0027514573507583574,-0.0020035680162939886
东方红资产管理,减股票,差异较小,3,2,1.0,0.002397131461862757,0.0006055356064608549
东方红资产管理,减股票,股显著强,2,2,0.0,-0.01825076207149358,-0.01825076207149358
东方红资产管理,加股票,差异较小,1,1,0.0,-0.0031599280993284233,-0.0031599280993284233
东海基金,减股票,债显著强,1,1,1.0,0.03025847481238074,0.03025847481238074
东海基金,减股票,差异较小,4,2,0.75,0.0017161807589383437,0.0006062663557134135
东海基金,减股票,股显著强,2,2,0.0,-0.02474409219672758,-0.02474409219672758
东海基金,加股票,差异较小,3,2,0.0,-0.0019945158276934265,-0.0022338079612730117
东海基金,加股票,股显著强,1,1,1.0,0.054027390799546354,0.054027390799546354
中信保诚基金,减股票,差异较小,7,6,1.0,0.005668636203235709,0.0074416654128386635
中信保诚基金,减股票,股显著强,2,2,0.0,-0.020767968275543815,-0.020767968275543815
中信保诚基金,加股票,差异较小,12,7,0.0,-0.004476862741183521,-0.0029400111581667876
中信保诚基金,加股票,股显著强,2,2,1.0,0.1011240675597383,0.1011240675597383
中加基金,减股票,债显著强,1,1,1.0,0.004506147618372245,0.004506147618372245
中加基金,减股票,差异较小,2,1,1.0,0.0027357887904438678,0.0027357887904438678
中加基金,加股票,债显著强,1,1,0.0,-0.008275979030927917,-0.008275979030927917
中加基金,加股票,差异较小,1,1,0.0,-0.000995754268062766,-0.000995754268062766
中加基金,加股票,股显著强,1,1,1.0,0.041013592712634196,0.041013592712634196
中欧基金,减股票,差异较小,7,6,1.0,0.007849885558533613,0.0048280775690249245
中欧基金,减股票,股显著强,5,4,0.0,-0.01886168340394339,-0.01883533501942502
中欧基金,加股票,债显著强,4,4,0.0,-0.02199034151806461,-0.006990469380297833
中欧基金,加股票,差异较小,16,6,0.0625,-0.004733300862611655,-0.0037026350272907783
