基金管理人简称,observation_count,raw_mean_contribution,winsor_1_mean_contribution,winsor_5_mean_contribution,median_contribution,all_four_same_sign
万家基金,22,-0.000725730375731396,-0.0007291203204358279,-0.0007368538452131504,-0.00041240890966483224,True
上银基金,5,-0.0036666983855166506,-0.0036525608096048324,-0.003596010505957556,-0.003950927852970427,True
东兴基金,9,0.011508283119397123,0.011321221234225349,0.010572973693538252,0.010483881268077831,True
东吴基金,5,0.0017573695156949134,0.001568452492581185,0.0008127844001262693,-0.002609979627301792,False
东方基金,17,-0.006331034108081729,-0.006254109404396416,-0.005946410589655165,-0.0031208415950515194,True
东方红资产管理,6,-0.005411676309454552,-0.005414566634210319,-0.005426127933233392,-0.0013184506538565168,True
东海基金,11,0.0032435324337404562,0.003269250043308665,0.0033721204815814945,-0.0007880716011078979,False
中信保诚基金,23,0.006376969525949422,0.005299741424795323,0.0012623626160573028,-0.0019229255131006315,False
中加基金,6,0.006953264102150581,0.0067150271116680335,0.0057620791497378305,0.002416398053698468,True
中欧基金,34,-0.004286748271464829,-0.004020373775058902,-0.0036157497840466975,-0.0037026350272907783,True
中海基金,3,-0.00803150366777017,-0.007937966817210061,-0.00756381941496962,-0.003354661139764651,True
中邮基金,17,0.0029418423973499867,0.0029685350452214533,0.0030753056367073188,0.00089836125736634,True
中金基金,4,-0.012245215098371488,-0.011991854437691163,-0.010978411794969865,-0.003799859742360659,True
中银基金,27,-0.0024758542231853938,-0.0023126710545243283,-0.0019095566897676466,0.0013187155991881928,False
中银证券,9,-0.002204825582068656,-0.002275795683053081,-0.0025596760869907816,-0.0006748059362257223,True
交银施罗德基金,29,0.0005005171022944519,8.074066848200805e-05,-0.0009496245198268972,-0.0007979748511909229,False
众盈基金,3,-0.029504097156565823,-0.02918279397898793,-0.027897581268676374,-0.013438938277671276,True
信达澳亚基金,15,-0.003181743560144274,-0.002995472555214172,-0.002250388535493758,0.0010626085619312407,False
光大保德信基金,16,0.004590701357930176,0.004293779318602595,0.003106091161292274,0.0006806640966278875,True
兴业基金,1,0.002499004340843371,0.002499004340843371,0.002499004340843371,0.002499004340843371,True
兴证全球基金,21,-0.0016968831848138569,-0.0016886571853062474,-0.00165575318727581,-0.0007302348690805281,True
兴证资管,9,-0.00018245268669685988,-0.00014701462800606178,-5.2623932428694925e-06,-0.00039068118313268256,True
兴银基金管理,11,6.46983429257497e-05,0.0004690911034824071,0.0020866621457090342,0.0028891012643330223,True
农银汇理基金,8,0.0077628298493034095,0.007606865884865536,0.0069830100271140415,0.0008032684320566138,True
创金合信基金,5,0.003828705569278628,0.0037912591007416563,0.003641473226593768,0.0007277817809723031,True
前海开源基金,20,0.015146640211228335,0.01479430672236505,0.013384972766911928,0.002465506188673826,True
前海联合,7,-0.0004904140602604274,-0.00046479530912422383,-0.0003623203045794096,0.0006819635716653372,False
华商基金,33,0.0014318643817076888,0.0014673655194835378,0.0014368242316279507,0.0010199610525937607,True
华夏基金,69,9.162067440184925e-05,-0.00020638389180193377,-0.0004403899134507344,0.00034920028155052544,False
华安基金,22,-0.0027185634166444626,-0.0026727279227285036,-0.0025008339582636343,-0.0020145002278407894,True
华宝基金,7,-0.004054775642452292,-0.0038643533619293798,-0.003102664239837729,-0.0007660859184748451,True
华富基金,12,0.002317735211381686,0.002220035340312745,0.0018292358560369748,0.001681094015623012,True
华泰保兴基金,6,0.00113100855135958,0.000998107767363295,0.00046650463137814835,-0.002162769277763007,False
华泰证券(上海)资产管理,11,-0.010860179823910764,-0.010822025634914752,-0.010669408878930718,-0.0056683858759935726,True
华润元大基金,5,0.03228867831112343,0.03155351897717061,0.02861288164135935,0.002673864329818933,True
南华基金,2,0.0033987158373992013,0.0033987158373992013,0.0033987158373992013,0.0033987158373992013,True
南方基金,17,0.006490638102432288,0.006470348921293759,0.006389192196739643,0.0006256381472327131,True
博时基金,53,-0.0002341960884826979,-0.00039378540205306745,-0.0006227223892487638,0.0003642420781935486,False
博道基金,7,-0.0037290408129704647,-0.0036852619153145603,-0.0035101463246909465,0.0008303668436630588,False
合煦智远基金,6,-0.004665713215738131,-0.004637522133893813,-0.004524757806516544,-0.003805986796048919,True
同泰基金,2,-0.0007043764057061922,-0.0007043764057061922,-0.0007043764057061931,-0.0007043764057061922,True
嘉实基金,9,-0.0055362802896833105,-0.00552682294884878,-0.005488993585510657,-0.0003140241317965509,True
国寿安保基金,51,-0.0004879058049621394,-0.0005989505325303873,-0.0008056109287085617,-0.0006369728123401752,True
国投瑞银基金,20,0.0003075284718467927,0.00041063275232533904,0.0008230498742395233,-0.0007805975302669365,False
国新国证基金,8,-0.002905058225272781,-0.002844937934191054,-0.002604456769864145,-0.0006136416559471228,True
国泰基金,52,-0.0020148992832941647,-0.0020274974121886526,-0.001980013633932143,-0.0005460784895643336,True
国海富兰克林基金,3,0.0031498849787512107,0.003075837229746121,0.002779646233725763,-0.0005525024715032665,False
国联安基金,7,-0.0003682256599138889,-0.0003685335884864292,-0.00036976530277658964,-0.004138297748084792,True
圆信永丰基金,6,-0.0037759376957444205,-0.003720075036079668,-0.003496624397420657,-0.0028376254497186823,True
大成基金,20,-0.0010630180887697157,-0.0008663598114405389,-7.972670212383099e-05,0.0002846976095906465,False
天弘基金,18,0.005206445934338203,0.00534108245512625,0.0058796285382784405,9.031524776336171e-05,True
太平基金,5,-0.0025265501644277416,-0.002449465114875495,-0.0021411249166665104,-0.0006115122552287897,True
安信基金,20,0.001571832899631489,0.0016070353398269885,0.0017478451006089867,0.0006537464193599219,True
宏利基金,10,-0.005120370730331279,-0.00502806119742656,-0.004658823065807687,0.0003046432486414085,False
宝盈基金,10,0.0030714907418832706,0.003056402989297045,0.002996051978952141,0.00016160550998512723,True
富国基金,50,-0.00035007852003564083,-0.0006004914423477504,-0.0012280734480879197,-0.0005792737615289343,True
富安达基金,10,0.0008834567942021347,0.000975153253674209,0.0013419390915625049,0.0019155638490849988,True
尚正基金,8,-0.003823398621963822,-0.003826141436356953,-0.003837112693929477,0.00016037120292174798,False
工银瑞信基金,28,-0.0025492897141633198,-0.0025444353442159776,-0.00252430065583218,-0.00064408610700262,True
平安基金,41,-2.1977490222797492e-05,-1.4896243095935588e-05,-0.000549317865425437,-0.0004145874081324744,True
广发基金,97,0.002105753663447624,0.0021113607273944277,0.0024913055432355135,0.0006509132390251684,True
建信基金,6,-0.0030459056671056288,-0.0030204592792103264,-0.0029186737276291168,-0.004020339087032564,True
弘毅远方基金,5,-0.00321027512015023,-0.003145131489982836,-0.0028845569693132607,-0.003709602270128944,True
恒越基金,8,0.004359251654765856,0.004085849937700172,0.0029922430694374422,0.00011719132327023187,True
招商基金,91,-0.0017727823456072686,-0.0016475643799069484,-0.0008152407971716521,-0.000590169149541236,True
摩根基金(中国),25,-0.0049906122970874356,-0.004857929896319723,-0.004373633898826948,-0.00046785985451517476,True
新华基金,12,-0.0038431323681104687,-0.003670030982201237,-0.002977625438564316,-0.004029546256473272,True
易方达基金,55,-0.0007747519013787507,-0.0006366191720177034,-0.0001934204655721176,0.0005612616233336193,False
景顺长城基金,31,0.0007751584551516339,0.0005997380485396655,0.0004036640492382684,0.0006279778237712271,True
格林基金,12,0.0011775829606033448,0.0009435185098138243,7.260706655732157e-06,0.0006205314659834193,True
民生加银基金,18,-0.0011315202380976907,-0.0011028103639649414,-0.000987970867433934,0.0009587051186969132,False
永赢基金,12,0.001212380856725978,0.0011056460456028339,0.0006787068011102543,-0.00011485972234425438,False
汇丰晋信基金,11,0.004444402743504466,0.004389709584676448,0.004170936949364374,0.000445404303914614,True
汇安基金,26,0.0018161505881095078,0.0018231611310492426,0.001817025703068837,0.0032981043854458623,True
汇添富基金,29,-0.0006385070722698652,-0.0006007800901853362,-0.0005533659629266018,-0.0004063040925302475,True
泓德基金,3,-0.007996698247468612,-0.007867362747581952,-0.007350020748035314,-0.001529923253135636,True
泰信基金,2,-1.9952402327335457e-05,-1.9952402327335457e-05,-1.9952402327335457e-05,-1.9952402327335457e-05,True
泰康基金,13,-0.00020862457701537165,-0.00017829406403970308,-5.6972012137028446e-05,-0.0005684136802878518,True
浙商基金,18,0.0024372513727412342,0.002236492192060182,0.0014334554693359817,0.0007004841409133749,True
浙商证券资管,8,0.002671885685745542,0.002744522088280325,0.0030350676984194557,0.002204005966761918,True
浦银安盛基金,5,0.003471082594630781,0.0035163823914449986,0.003697581578701867,0.0012511075753516292,True
海富通基金,8,0.003046232422855941,0.002925466201435635,0.002442401315754412,-0.0016975178363866229,False
益民基金,5,-0.0034108238302067912,-0.0033886436402148002,-0.003299922880246836,0.0015376434078094511,False
红土创新基金,15,-0.004306698877538178,-0.00425640723634487,-0.004055240671571643,-0.0006295744854925113,True
红塔红土,8,0.0041378078760443615,0.0038939542261153437,0.0029185396263992757,8.670038408706163e-05,True
英大基金,3,-0.015897983543341685,-0.01563907255751368,-0.014603428614201672,-0.0029524342519415495,True
融通基金,36,0.0013381835517070372,0.0010776730890047397,0.000621380809396384,-0.0003446837421937288,False
西部利得基金,12,0.003767972318645125,0.0038223439522844815,0.004039830486841903,0.0034532551390977634,True
诺安基金,4,0.010288197396419375,0.010074083305781618,0.009217626943230596,0.0031510610418275303,True
诺德基金,4,-0.0017095077669822085,-0.001677439651913843,-0.0015491671916403786,-0.0006405705980366677,True
财通基金,7,-0.008205897034261589,-0.008075467471694197,-0.007553749221424621,0.002585129431134509,False
财通资管,28,0.0010095232019763296,0.0008369865322123143,0.0002922398880106522,-0.000799929271149497,False
金鹰基金,26,0.0036737087978966545,0.003311309369187334,0.001845065819562958,-0.00037848618245993397,False
银华基金,35,-0.0002034413735784986,-0.0003509254323219255,-0.0008091034448927257,-0.0006324568285324629,True
银河基金,11,-0.003267193669590175,-0.0034226686478509225,-0.004044568560893919,-0.0010749099209981414,True
长信基金,44,-0.0007562755821598405,-0.0007168414984362843,-0.00041227274833751916,-0.0005132678506811724,True
长城基金,3,0.0016060351377710546,0.0016324424901531592,0.0017380718996815759,0.0029264027568762663,True
长盛基金,26,0.00898701236815707,0.008894742444267105,0.008088054632459967,0.002256119821951341,True
鹏华基金,38,0.0015374700209195645,0.0015032681599027418,0.0008400331128004248,0.0005385764259109531,True
鹏扬基金,15,0.002444996925265631,0.0025486588251962183,0.002963306424918569,0.0013227134964193222,True
