基金主代码,基金名称,基金管理人简称,投资风格,annualized_evaluation_pool,return_quarter_count,return_period_start,return_period_end,contribution_evaluation_pool,contribution_quarter_count,latest_valid_nav_yuan,annualized_fund_return,annualized_csi300_return,annualized_bond_return,annualized_three_asset_benchmark_return,annualized_loo_peer_return,annualized_excess_vs_three_asset,annualized_excess_vs_loo_peer,significant_switch_count,significant_switch_coverage,cumulative_active_allocation_contribution,annualized_active_allocation_contribution,annualized_excess_positive,annualized_allocation_contribution_positive
000065.OF,国富焦点驱动混合A,国海富兰克林基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,42700000.0,0.04829574339698861,0.06555749968804503,0.043099338066887816,0.04787931423040548,0.053415216085514805,0.0004164291665831321,-0.005119472688526194,3,0.25,0.009407614009612653,0.0031260887226736145,True,True
000110.OF,金鹰元安混合A,金鹰基金,收入型,正式年化,8,2023Q2,2026Q1,正式贡献,12,16230000.0,0.08591723408682683,0.21861618662409454,0.03861480050555999,0.08133101483170257,0.05394500969844018,0.0045862192551242575,0.03197222438838665,9,0.75,-0.0358849051189597,-0.012107638305629442,True,False
000165.OF,国投瑞银策略精选混合,国投瑞银基金,成长型,正式年化,10,2023Q1,2025Q4,正式贡献,9,844360000.0,0.1095284331752937,0.056287842812150046,0.04630776572612083,0.04231750300017145,0.052587040405719376,0.06721093017512225,0.05694139276957433,6,0.6666666666666666,-0.03237849413666316,-0.014522088807236377,True,False
000195.OF,工银成长收益混合A,工银瑞信基金,成长型,正式年化,11,2023Q1,2026Q1,正式贡献,12,66350000.0,0.05097750253385658,0.07446173731570993,0.03710938823439203,0.07331483564650454,0.06233984516582236,-0.02233733311264796,-0.011362342631965783,6,0.5,-0.02623627959593844,-0.008823043685339593,False,False
000214.OF,广发成长优选混合,广发基金,成长型,正式年化,12,2023Q1,2026Q1,正式贡献,12,176370000.0,0.1059799929237426,0.09745496269582743,0.041933381663660674,0.11635303263469265,0.06474595443274267,-0.01037303971095005,0.041234038490999936,5,0.4166666666666667,-0.003461251822712841,-0.0011550843136304279,False,False
000219.OF,博时裕益混合A,博时基金,成长型,年化观察池,7,2023Q1,2026Q1,贡献观察池,7,412680000.0,,,,,,,,3,0.42857142857142855,0.010363261946758628,,,
000259.OF,农银区间收益混合,农银汇理基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,307530000.0,0.1280655562806774,0.06555749968804503,0.043099338066887816,0.04868948148743946,0.053864963297588275,0.07937607479323794,0.07420059298308912,4,0.3333333333333333,0.0062844645164323865,0.0020904484855377437,True,True
000273.OF,华润元大安鑫灵活配置混合A,华润元大基金,成长型,年化观察池,6,2023Q2,2025Q1,贡献观察池,7,8190000.0,,,,,,,,5,0.7142857142857143,0.16480030653869382,,,
000314.OF,招商瑞丰混合发起式A,招商基金,成长型,正式年化,12,2023Q1,2026Q1,正式贡献,12,34750000.0,0.05598252232804746,0.09745496269582743,0.041933381663660674,0.108882627444572,0.06411732857950625,-0.05290010511652454,-0.008134806251458793,3,0.25,0.00589969388941558,0.0019627098794643416,False,True
000417.OF,国联安新精选混合A,国联安基金,成长型,正式年化,12,2023Q1,2026Q1,正式贡献,12,26899999.999999996,-0.008005921851877096,0.07868490866688593,0.03722431868323661,0.048190911982067375,0.05784356760782039,-0.05619683383394447,-0.06584948945969749,7,0.5833333333333334,-0.002741228108074756,-0.0009145789022587669,False,False
