基金管理人简称,evaluation_pool,credibility_grade,switch_observation_count,switch_unique_fund_count,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason
广发基金,正式评价,B级,97,18,0.1134020618556701,0.20618556701030927,0.15503055776720326,通过
易方达基金,正式评价,B级,55,13,0.12727272727272726,0.2545454545454545,0.1590626581262172,通过
华商基金,正式评价,B级,33,5,0.24242424242424243,0.45454545454545453,0.371043795167555,通过
景顺长城基金,正式评价,B级,31,8,0.22580645161290322,0.41935483870967744,0.24560724965781777,通过
鹏华基金,正式评价,B级,38,8,0.21052631578947367,0.39473684210526316,0.2469890930864319,通过
华夏基金,正式评价,B级,69,15,0.10144927536231885,0.2028985507246377,0.24037973522706005,通过
博时基金,正式评价,B级,53,10,0.1509433962264151,0.2641509433962264,0.30299081633163877,通过
招商基金,正式评价,C级,91,18,0.08791208791208792,0.17582417582417584,0.14211254012204264,通过
国寿安保基金,正式评价,C级,51,8,0.17647058823529413,0.3333333333333333,0.2051833454955788,通过
平安基金,正式评价,C级,41,9,0.17073170731707318,0.34146341463414637,0.2131050459412772,通过
长信基金,正式评价,C级,44,7,0.18181818181818182,0.36363636363636365,0.1869642304746593,通过
富国基金,正式评价,C级,50,9,0.18,0.34,0.24614089698043215,通过
国泰基金,正式评价,C级,52,11,0.15384615384615385,0.28846153846153844,0.16670205379302425,通过
融通基金,正式评价,B级,36,7,0.25,0.4722222222222222,0.2519132864654619,通过
银华基金,正式评价,C级,35,5,0.2571428571428571,0.4857142857142857,0.37705915379050653,通过
中欧基金,正式评价,C级,34,7,0.23529411764705882,0.47058823529411764,0.21018064482244486,通过
兴业基金,观察池,观察池,1,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
东兴基金,观察池,观察池,9,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
农银汇理基金,观察池,观察池,8,2,0.5,1.0,0.9277240367694455,切换观察<30；切换基金<5；收益观察<30
浙商证券资管,观察池,观察池,8,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
