threshold,基金管理人简称,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,threshold_rank
0.03,广发基金,122,18,76,0.6229508196721312,0.5344381181408694,0.7039570838946193,0.0015820238210859617,0.0005349760469542343,1.0
0.03,前海开源基金,26,4,18,0.6923076923076923,0.5001174167780164,0.8349868440453624,0.011903247915603272,0.002134552803168235,2.0
0.03,中邮基金,23,4,16,0.6956521739130435,0.49134243731240795,0.8439597554678597,0.0020445734282877413,0.0007031808174388732,3.0
0.03,东兴基金,10,1,8,0.8,0.49016247153664183,0.9433178485456247,0.010202682739870728,0.009083790022969166,4.0
0.03,农银汇理基金,10,2,8,0.8,0.49016247153664183,0.9433178485456247,0.005742069238060865,0.0007522634064822281,5.0
0.03,汇丰晋信基金,15,2,11,0.7333333333333333,0.4804956594401943,0.8910254667430761,0.004154987006804089,0.001859219049438786,6.0
0.03,财通基金,12,2,9,0.75,0.46769466506643426,0.9110583316059453,-0.0042673872426141094,0.0011335157306876396,7.0
0.03,华商基金,37,5,23,0.6216216216216216,0.46100430439217654,0.7593600082420173,0.001381424182223829,0.0010199610525937607,8.0
0.03,西部利得基金,14,3,10,0.7142857142857143,0.4535091567010681,0.8827862135542308,0.003410216952912743,0.0033398923116955428,9.0
0.03,浙商证券资管,9,1,7,0.7777777777777778,0.45258896910698887,0.9367748928821533,0.0022061669937390904,0.001316352479609846,10.0
0.03,景顺长城基金,40,8,24,0.6,0.44595893660346186,0.7365167431570808,0.0007315249594486977,0.0005026410547923298,11.0
0.03,鹏华基金,50,8,29,0.58,0.4423344176857823,0.7062499664528802,0.0014690559187616244,0.0005385764259109531,12.0
0.03,华夏基金,92,15,48,0.5217391304347826,0.4208569740212842,0.6208786177489061,0.00017609882528380974,0.0003578170497923712,13.0
0.03,兴银基金管理,17,3,11,0.6470588235294118,0.41300363485218694,0.8269027960275627,0.0005575595384361773,0.002648420309060463,14.0
0.03,易方达基金,85,14,44,0.5176470588235295,0.4129754550090092,0.6207925632093185,-0.0010220479918480758,0.00025169517334421704,15.0
0.03,鹏扬基金,23,4,14,0.6086956521739131,0.4078552239138171,0.7784237720752205,0.0019612285399190636,0.0013227134964193222,16.0
0.03,民生加银基金,23,4,14,0.6086956521739131,0.4078552239138171,0.7784237720752205,-0.00043014497881738514,0.0010385777237661897,17.0
0.03,安信基金,27,5,16,0.5925925925925926,0.4072670096806468,0.7548524292560443,0.0009530730007228943,0.0006286108504831081,18.0
0.03,博时基金,71,10,36,0.5070422535211268,0.39341308325020075,0.6199484948878713,-0.0001832532568600308,0.0001868274986237441,19.0
0.03,汇安基金,32,5,18,0.5625,0.3932559113685198,0.7183466888495963,0.0015411049302363703,0.0031509001687133557,20.0
0.03,长盛基金,28,5,16,0.5714285714285714,0.3907078562746876,0.734914528758763,0.008230649347997838,0.002256119821951341,21.0
0.03,招商基金,118,18,55,0.4661016949152542,0.3785871696717929,0.5557537346687152,-0.0012536094016107442,-0.00023226333146561065,22.0
0.03,创金合信基金,5,1,4,0.8,0.37553462976252533,0.9637758913675698,0.003828705569278628,0.0007277817809723031,23.0
0.03,南华基金,5,1,4,0.8,0.37553462976252533,0.9637758913675698,0.002062096498304539,0.001527746670360743,24.0
0.03,长城基金,5,1,4,0.8,0.37553462976252533,0.9637758913675698,0.0013239738047603465,0.0016742204297427645,25.0
0.03,浙商基金,23,3,13,0.5652173913043478,0.3681137508501646,0.743653646743258,0.002133859457032607,0.0006947283009331709,26.0
0.03,国泰基金,71,11,34,0.4788732394366197,0.36677523911181087,0.5931400264739731,-0.0011274688329415807,-0.0002791978867850951,27.0
0.03,光大保德信基金,21,4,12,0.5714285714285714,0.3654655436930671,0.7553003107462404,0.0035434866178445583,0.0006209694850548973,28.0
